sku_id,source_asset_id,duplicate_group_id,class_id,split,image_path,label_path,source_sha256,box_algorithm_version,parameters_hash
7773401007956,0007ba67a0d3dbe70c9ee0dcc110b178b5b5f10b9cfa1408283cb2fcb3d94a9f,07ab51fe60aaa5d907987ea2c3a2ec5a954f88c67cde42e81152067c34add6bc,0,val,images/val/0007ba67a0d3dbe70c9ee0dcc110b178b5b5f10b9cfa1408283cb2fcb3d94a9f.jpg,labels/val/0007ba67a0d3dbe70c9ee0dcc110b178b5b5f10b9cfa1408283cb2fcb3d94a9f.txt,07ab51fe60aaa5d907987ea2c3a2ec5a954f88c67cde42e81152067c34add6bc,pixel-extremes-v1,87f64e55aa7b63804c03badb8d3cf038c7f8a2bdff322bf6a983acd6697d72a0
7798186034119,001d3573fef14278e77229280a2b0d000da130fad3ac091f35a7848e2139c9b4,4346deb3019749aef88f8c191655d4890cae1b0294a2c1cad7a51f7d65037503,0,train,images/train/001d3573fef14278e77229280a2b0d000da130fad3ac091f35a7848e2139c9b4.jpg,labels/train/001d3573fef14278e77229280a2b0d000da130fad3ac091f35a7848e2139c9b4.txt,4346deb3019749aef88f8c191655d4890cae1b0294a2c1cad7a51f7d65037503,pixel-extremes-v1,87f64e55aa7b63804c03badb8d3cf038c7f8a2bdff322bf6a983acd6697d72a0
7896902289727,003caf024e3c18688c4615e0b72e64b8380f0e6df8e445042617929072e227b8,4004d0475d7ee08ccffb6d75f33f0c258fbff828ffffd43e12fb8098b29b15aa,0,train,images/train/003caf024e3c18688c4615e0b72e64b8380f0e6df8e445042617929072e227b8.jpg,labels/train/003caf024e3c18688c4615e0b72e64b8380f0e6df8e445042617929072e227b8.txt,4004d0475d7ee08ccffb6d75f33f0c258fbff828ffffd43e12fb8098b29b15aa,pixel-extremes-v1,87f64e55aa7b63804c03badb8d3cf038c7f8a2bdff322bf6a983acd6697d72a0
7791274201653,003cbb21c22fd7b7b2a922404810bb858938cea665db130f0e443a2ce6f15dc3,2e70eefcf89098caf71fca678279a326f622c4cd22f8d89700a64f424f9da2fd,0,test,images/test/003cbb21c22fd7b7b2a922404810bb858938cea665db130f0e443a2ce6f15dc3.jpg,labels/test/003cbb21c22fd7b7b2a922404810bb858938cea665db130f0e443a2ce6f15dc3.txt,2e70eefcf89098caf71fca678279a326f622c4cd22f8d89700a64f424f9da2fd,pixel-extremes-v1,87f64e55aa7b63804c03badb8d3cf038c7f8a2bdff322bf6a983acd6697d72a0
7779970870182,00899550d8541852fac78309d735d33263debd9a7b09495ee8ed65bc6e2fad39,3f1ec8d9e2aa99889f467c1bc8bb06d9258097888d5f31ce9ed48aa097858f7a,0,train,images/train/00899550d8541852fac78309d735d33263debd9a7b09495ee8ed65bc6e2fad39.jpg,labels/train/00899550d8541852fac78309d735d33263debd9a7b09495ee8ed65bc6e2fad39.txt,3f1ec8d9e2aa99889f467c1bc8bb06d9258097888d5f31ce9ed48aa097858f7a,pixel-extremes-v1,87f64e55aa7b63804c03badb8d3cf038c7f8a2bdff322bf6a983acd6697d72a0
7774904408400,00ea393d021e5d79d5ea410540cbddb9b1c6a913a5649cc0837eabb9ef2511fd,e7bf15ae6d65f0e98475db50e2dd90d278c1270fdc8d60f46067b767acf9eed4,0,train,images/train/00ea393d021e5d79d5ea410540cbddb9b1c6a913a5649cc0837eabb9ef2511fd.jpg,labels/train/00ea393d021e5d79d5ea410540cbddb9b1c6a913a5649cc0837eabb9ef2511fd.txt,e7bf15ae6d65f0e98475db50e2dd90d278c1270fdc8d60f46067b767acf9eed4,pixel-extremes-v1,87f64e55aa7b63804c03badb8d3cf038c7f8a2bdff322bf6a983acd6697d72a0
309974677097,0200e739345eb36c23f0faea8a82736af0ab3f30b80d071d790ab8bced5d7cfe,b8427220be8ffaaf80a655e5a4b9136bfc5b91909e6b8328e52b22df2b37e6b6,0,train,images/train/0200e739345eb36c23f0faea8a82736af0ab3f30b80d071d790ab8bced5d7cfe.jpg,labels/train/0200e739345eb36c23f0faea8a82736af0ab3f30b80d071d790ab8bced5d7cfe.txt,b8427220be8ffaaf80a655e5a4b9136bfc5b91909e6b8328e52b22df2b37e6b6,pixel-extremes-v1,87f64e55aa7b63804c03badb8d3cf038c7f8a2bdff322bf6a983acd6697d72a0
7509552973136,031e2485e3079babb9250725b7d69750e3db658715c6b1aca8d2248804854bd3,763c8b40e6c5c93c0297660bad562754dad496627ca66a63c21985f53890a635,0,train,images/train/031e2485e3079babb9250725b7d69750e3db658715c6b1aca8d2248804854bd3.jpg,labels/train/031e2485e3079babb9250725b7d69750e3db658715c6b1aca8d2248804854bd3.txt,763c8b40e6c5c93c0297660bad562754dad496627ca66a63c21985f53890a635,pixel-extremes-v1,87f64e55aa7b63804c03badb8d3cf038c7f8a2bdff322bf6a983acd6697d72a0
7896451907660,0321ea22b3a0280cfc68b1a68aadcac7ae6cee25c6735d28d692b5e27bc26652,2c73ef246ef29b6735003bea3e9d31e2535e8213de4208ddc0013111e0de1e83,0,train,images/train/0321ea22b3a0280cfc68b1a68aadcac7ae6cee25c6735d28d692b5e27bc26652.jpg,labels/train/0321ea22b3a0280cfc68b1a68aadcac7ae6cee25c6735d28d692b5e27bc26652.txt,2c73ef246ef29b6735003bea3e9d31e2535e8213de4208ddc0013111e0de1e83,pixel-extremes-v1,87f64e55aa7b63804c03badb8d3cf038c7f8a2bdff322bf6a983acd6697d72a0
7891150103047,0329471d8dfd379f3494c3c0d2f4786b28622ba85c3da91022faa6d4d08c72b8,773ea9652bd91660ce1e07d3bd597651f35afd21de38a28deefdbc369fcbffba,0,train,images/train/0329471d8dfd379f3494c3c0d2f4786b28622ba85c3da91022faa6d4d08c72b8.jpg,labels/train/0329471d8dfd379f3494c3c0d2f4786b28622ba85c3da91022faa6d4d08c72b8.txt,773ea9652bd91660ce1e07d3bd597651f35afd21de38a28deefdbc369fcbffba,pixel-extremes-v1,87f64e55aa7b63804c03badb8d3cf038c7f8a2bdff322bf6a983acd6697d72a0
7896058259797,0362f9268cdfa0ae11785322d6445e2c67f1279be79b27793fba6dd2e6ef6d17,79278190eb4738457a57a7e2063cfb80f7ced8bc0664112838dc11807b82909c,0,test,images/test/0362f9268cdfa0ae11785322d6445e2c67f1279be79b27793fba6dd2e6ef6d17.jpg,labels/test/0362f9268cdfa0ae11785322d6445e2c67f1279be79b27793fba6dd2e6ef6d17.txt,79278190eb4738457a57a7e2063cfb80f7ced8bc0664112838dc11807b82909c,pixel-extremes-v1,87f64e55aa7b63804c03badb8d3cf038c7f8a2bdff322bf6a983acd6697d72a0
9000975,041831833afebcd07f320b298f057fce90084b95d710114def865c2f0b773954,5905e7761b21b0d1ccd6c328b8897403906b6f60888376e085ce1d965c7185fe,0,test,images/test/041831833afebcd07f320b298f057fce90084b95d710114def865c2f0b773954.jpg,labels/test/041831833afebcd07f320b298f057fce90084b95d710114def865c2f0b773954.txt,5905e7761b21b0d1ccd6c328b8897403906b6f60888376e085ce1d965c7185fe,pixel-extremes-v1,87f64e55aa7b63804c03badb8d3cf038c7f8a2bdff322bf6a983acd6697d72a0
7898930142630,041f3849fe260b99bbf4a05b102fb13e92826c3b7c9634f2319dacdd2869b7ba,84b3032d2f9fd08742429ca75eecaeb2584f297da38d2cd5afdb5b8b8ca8db1c,0,train,images/train/041f3849fe260b99bbf4a05b102fb13e92826c3b7c9634f2319dacdd2869b7ba.jpg,labels/train/041f3849fe260b99bbf4a05b102fb13e92826c3b7c9634f2319dacdd2869b7ba.txt,84b3032d2f9fd08742429ca75eecaeb2584f297da38d2cd5afdb5b8b8ca8db1c,pixel-extremes-v1,87f64e55aa7b63804c03badb8d3cf038c7f8a2bdff322bf6a983acd6697d72a0
