source_asset_id,sku_id,product_name,description,source_name,product_page_url,image_url,retrieved_at,retrieval_run_id,http_status,content_type,scraper_version,sha256,duplicate_group_id,width_px,height_px,image_mode,background_mode,rights_status,acceptance_status,rejection_reason,local_path
0007ba67a0d3dbe70c9ee0dcc110b178b5b5f10b9cfa1408283cb2fcb3d94a9f,7773401007956,Pack Mundial Mabel X 6 Wafer+Vaso De Colección,Descripción:El Pack Mundial Mabel x 6 Wafer + Vaso de Colección es una edición especial que combina una selección de deliciosas galletas wafer con un exclusivo vaso coleccionable. Incluye seis paquetes de wafers de 100 gramos en distintos sabores ideales para disfrutar en cualquier momento y compartir en familia. Una o,AMARKET,https://amarket.com.bo/collections/lo-nuevo/products/7773401007956,https://amarket.com.bo/cdn/shop/files/7773401007956_1200x1200.jpg?v=1787205164,2026-08-21T02:04:01.516510+00:00,59f35c31-a86c-44d9-adbe-e27e1d03b535,200,image/jpeg,1.0.0,07ab51fe60aaa5d907987ea2c3a2ec5a954f88c67cde42e81152067c34add6bc,07ab51fe60aaa5d907987ea2c3a2ec5a954f88c67cde42e81152067c34add6bc,1200,1200,RGB,UNIFORM_RGB,REDISTRIBUTION_PROHIBITED,ACCEPTED,,data\raw\amarket_full\7773401007956_07ab51fe60aa.jpg
001d3573fef14278e77229280a2b0d000da130fad3ac091f35a7848e2139c9b4,7798186034119,Gomitas Ositos Yummy Ácidos X 30G,Gomitas Ositos Yummy Ácidos X 30G,AMARKET,https://amarket.com.bo/collections/lo-nuevo/products/7798186034119,https://amarket.com.bo/cdn/shop/files/7798186034119_1200x1200.jpg?v=1787205164,2026-08-21T02:10:41.143778+00:00,59f35c31-a86c-44d9-adbe-e27e1d03b535,200,image/jpeg,1.0.0,4346deb3019749aef88f8c191655d4890cae1b0294a2c1cad7a51f7d65037503,4346deb3019749aef88f8c191655d4890cae1b0294a2c1cad7a51f7d65037503,1200,1200,RGB,UNIFORM_RGB,REDISTRIBUTION_PROHIBITED,ACCEPTED,,data\raw\amarket_full\7798186034119_4346deb30197.jpg
003caf024e3c18688c4615e0b72e64b8380f0e6df8e445042617929072e227b8,7896902289727,Jabón Líquido Farmax Hidraderm Ciruela X 150Ml,DescripciónJabón Exfoliante Hidraderm Ciruela Farmax formulado para brindar una limpieza profunda mientras elimina células muertas y ayuda a destapar los poros. Sus microesferas exfoliantes dejan la piel suave renovada y con un agradable aroma a ciruela.Beneficios: Limpieza profunda y exfoliación suave. Ayuda a elimina,AMARKET,https://amarket.com.bo/collections/lo-nuevo/products/7896902289727,https://amarket.com.bo/cdn/shop/files/7896902289727_1200x1200.jpg?v=1787204993,2026-08-21T02:18:40.265844+00:00,59f35c31-a86c-44d9-adbe-e27e1d03b535,200,image/jpeg,1.0.0,4004d0475d7ee08ccffb6d75f33f0c258fbff828ffffd43e12fb8098b29b15aa,4004d0475d7ee08ccffb6d75f33f0c258fbff828ffffd43e12fb8098b29b15aa,1200,1200,RGB,UNIFORM_RGB,REDISTRIBUTION_PROHIBITED,ACCEPTED,,data\raw\amarket_full\7896902289727_4004d0475d7e.jpg
003cbb21c22fd7b7b2a922404810bb858938cea665db130f0e443a2ce6f15dc3,7791274201653,Enjuague Bucal Algabo Antibacterial X 250Ml,Descripción:El Enjuague Bucal Antibacterial Algabo complementa la higiene bucal diaria al proporcionar una limpieza profunda incluso en las zonas de difícil acceso. Su fórmula con Cloruro de Cetilpiridinio (CPC) ayuda a eliminar las bacterias responsables del mal aliento mientras contribuye a mantener una adecuada salu,AMARKET,https://amarket.com.bo/collections/lo-nuevo/products/7791274201653,https://amarket.com.bo/cdn/shop/files/7791274201653_1200x1200.jpg?v=1783750590,2026-08-21T02:08:02.808320+00:00,59f35c31-a86c-44d9-adbe-e27e1d03b535,200,image/jpeg,1.0.0,2e70eefcf89098caf71fca678279a326f622c4cd22f8d89700a64f424f9da2fd,2e70eefcf89098caf71fca678279a326f622c4cd22f8d89700a64f424f9da2fd,1200,1200,RGB,UNIFORM_RGB,REDISTRIBUTION_PROHIBITED,ACCEPTED,,data\raw\amarket_full\7791274201653_2e70eefcf890.jpg
00899550d8541852fac78309d735d33263debd9a7b09495ee8ed65bc6e2fad39,7779970870182,Alpha Caldo De Hueso Con Curcuma X 470Ml,Descripción:El Caldo de Hueso Natural es un alimento complementario elaborado mediante la cocción prolongada de huesos de res y pollo enriquecido con cúrcuma perejil y vinagre de manzana. Su fórmula es altamente palatable y aporta nutrientes naturales que ayudan a complementar la alimentación diaria de perros y gatos d,AMARKET,https://amarket.com.bo/collections/lo-nuevo/products/7779970870182,https://amarket.com.bo/cdn/shop/files/7779970870182_1200x1200.jpg?v=1784959856,2026-08-21T02:07:38.291049+00:00,59f35c31-a86c-44d9-adbe-e27e1d03b535,200,image/jpeg,1.0.0,3f1ec8d9e2aa99889f467c1bc8bb06d9258097888d5f31ce9ed48aa097858f7a,3f1ec8d9e2aa99889f467c1bc8bb06d9258097888d5f31ce9ed48aa097858f7a,1200,1200,RGB,UNIFORM_RGB,REDISTRIBUTION_PROHIBITED,ACCEPTED,,data\raw\amarket_full\7779970870182_3f1ec8d9e2aa.jpg
00ea393d021e5d79d5ea410540cbddb9b1c6a913a5649cc0837eabb9ef2511fd,7774904408400,Suavizante Todo Brillo Plus Dulces Sueños X 1.7L,Suavizante Todo Brillo Plus Dulces Sueños X 1.7L,AMARKET,https://amarket.com.bo/collections/lo-nuevo/products/7774904408400,https://amarket.com.bo/cdn/shop/files/7774904408400_1200x1200.jpg?v=1779486303,2026-08-21T02:06:19.502133+00:00,59f35c31-a86c-44d9-adbe-e27e1d03b535,200,image/jpeg,1.0.0,e7bf15ae6d65f0e98475db50e2dd90d278c1270fdc8d60f46067b767acf9eed4,e7bf15ae6d65f0e98475db50e2dd90d278c1270fdc8d60f46067b767acf9eed4,1200,1200,RGB,UNIFORM_RGB,REDISTRIBUTION_PROHIBITED,ACCEPTED,,data\raw\amarket_full\7774904408400_e7bf15ae6d65.jpg
0200e739345eb36c23f0faea8a82736af0ab3f30b80d071d790ab8bced5d7cfe,309974677097,Base Para Rostro Revlon Colorstay Ácido Hialurónico Tono 330 Natural Tan,DescripciónLa base de maquillaje de larga duración SPF 20 está diseñada para piel normal a seca ofreciendo un acabado impecable hasta por 24 horas. Enriquecida con ácido hialurónico contribuye a aumentar la hidratación de la piel ayudando a mantenerla suave fresca y con un brillo saludable. Ideal para quienes buscan un,AMARKET,https://amarket.com.bo/collections/lo-nuevo/products/309974677097,https://amarket.com.bo/cdn/shop/files/309974677097_1200x1200.jpg?v=1787204230,2026-08-21T01:49:51.844530+00:00,59f35c31-a86c-44d9-adbe-e27e1d03b535,200,image/jpeg,1.0.0,b8427220be8ffaaf80a655e5a4b9136bfc5b91909e6b8328e52b22df2b37e6b6,b8427220be8ffaaf80a655e5a4b9136bfc5b91909e6b8328e52b22df2b37e6b6,1200,1200,RGB,UNIFORM_RGB,REDISTRIBUTION_PROHIBITED,ACCEPTED,,data\raw\amarket_full\309974677097_b8427220be8f.jpg
031e2485e3079babb9250725b7d69750e3db658715c6b1aca8d2248804854bd3,7509552973136,Crema Garnier Express Aclara Anti Imperfecciones X 50Ml,DescripciónSkin active express Aclara anti inperfecciones 4% acido salicilico con niacinamida y vitamina c 48 hrs de hidratacion 8 hrs anti oleosidad.Beneficios: Matificación Prolongada: Controla la oleosidad y el brillo hasta por 8 horas dejando un acabado mate. Tratamiento de Imperfecciones: Ayuda a reducir visibleme,AMARKET,https://amarket.com.bo/collections/lo-nuevo/products/7509552973136,https://amarket.com.bo/cdn/shop/files/7509552973136_1200x1200.jpg?v=1787204870,2026-08-21T01:54:41.170961+00:00,59f35c31-a86c-44d9-adbe-e27e1d03b535,200,image/jpeg,1.0.0,763c8b40e6c5c93c0297660bad562754dad496627ca66a63c21985f53890a635,763c8b40e6c5c93c0297660bad562754dad496627ca66a63c21985f53890a635,1200,1200,RGB,UNIFORM_RGB,REDISTRIBUTION_PROHIBITED,ACCEPTED,,data\raw\amarket_full\7509552973136_763c8b40e6c5.jpg
0321ea22b3a0280cfc68b1a68aadcac7ae6cee25c6735d28d692b5e27bc26652,7896451907660,Pastillas Docile Minty Rolly Frutales X 29G,Pastillas Docile Minty Rolly Frutales X 29G,AMARKET,https://amarket.com.bo/collections/lo-nuevo/products/7896451907660,https://amarket.com.bo/cdn/shop/files/7896451907660_1200x1200.jpg?v=1781071348,2026-08-21T02:16:35.930999+00:00,59f35c31-a86c-44d9-adbe-e27e1d03b535,200,image/jpeg,1.0.0,2c73ef246ef29b6735003bea3e9d31e2535e8213de4208ddc0013111e0de1e83,2c73ef246ef29b6735003bea3e9d31e2535e8213de4208ddc0013111e0de1e83,1200,1200,RGB,UNIFORM_RGB,REDISTRIBUTION_PROHIBITED,ACCEPTED,,data\raw\amarket_full\7896451907660_2c73ef246ef2.jpg
0329471d8dfd379f3494c3c0d2f4786b28622ba85c3da91022faa6d4d08c72b8,7891150103047,Shampoo Dove Bond Repair+Péptido X 175Ml,Descripción:El Shampoo Dove Bond Repair + Péptido Complex 175 ml está especialmente desarrollado para cabello dañado. Su innovadora tecnología Bio-Protein Care™ con Péptido Complex ayuda a reparar regenerar y proteger la estructura capilar a nivel molecular restaurando los signos visibles del daño acumulado. Limpia sua,AMARKET,https://amarket.com.bo/collections/lo-nuevo/products/7891150103047,https://amarket.com.bo/cdn/shop/files/7891150103047_1200x1200.jpg?v=1787205144,2026-08-21T02:12:25.247304+00:00,59f35c31-a86c-44d9-adbe-e27e1d03b535,200,image/jpeg,1.0.0,773ea9652bd91660ce1e07d3bd597651f35afd21de38a28deefdbc369fcbffba,773ea9652bd91660ce1e07d3bd597651f35afd21de38a28deefdbc369fcbffba,1200,1200,RGB,UNIFORM_RGB,REDISTRIBUTION_PROHIBITED,ACCEPTED,,data\raw\amarket_full\7891150103047_773ea9652bd9.jpg
