source_asset_id,sku_id,split,source_sha256,source_image_relative_path,mask_method,x0,y0,x1,y1,cutout_width,cutout_height,foreground_pixels,cutout_sha256,cutout_relative_path,category,metadata_status,status,rejection_reason
001d3573fef14278e77229280a2b0d000da130fad3ac091f35a7848e2139c9b4,7798186034119,train,4346deb3019749aef88f8c191655d4890cae1b0294a2c1cad7a51f7d65037503,images/train/001d3573fef14278e77229280a2b0d000da130fad3ac091f35a7848e2139c9b4.jpg,rgb,320,251,881,949,561,698,357229,5938c596ae4a78c68490dceacf9dad07c51f02ca2c4755a9c97b64909e49d318,cutouts/001d3573fef14278e77229280a2b0d000da130fad3ac091f35a7848e2139c9b4.png,,OK,accepted,
003caf024e3c18688c4615e0b72e64b8380f0e6df8e445042617929072e227b8,7896902289727,train,4004d0475d7ee08ccffb6d75f33f0c258fbff828ffffd43e12fb8098b29b15aa,images/train/003caf024e3c18688c4615e0b72e64b8380f0e6df8e445042617929072e227b8.jpg,rgb,419,191,776,1014,357,823,217972,3404e74c4f937c1922e2792d034753d9d2243d8c20808be072776f7589014cdc,cutouts/003caf024e3c18688c4615e0b72e64b8380f0e6df8e445042617929072e227b8.png,,OK,accepted,
00899550d8541852fac78309d735d33263debd9a7b09495ee8ed65bc6e2fad39,7779970870182,train,3f1ec8d9e2aa99889f467c1bc8bb06d9258097888d5f31ce9ed48aa097858f7a,images/train/00899550d8541852fac78309d735d33263debd9a7b09495ee8ed65bc6e2fad39.jpg,rgb,297,104,910,1085,613,981,472773,4d8b18280c70e388acc2016d551e3bd7dbea8c2f443aec80b7554036740feb99,cutouts/00899550d8541852fac78309d735d33263debd9a7b09495ee8ed65bc6e2fad39.png,,OK,accepted,
00ea393d021e5d79d5ea410540cbddb9b1c6a913a5649cc0837eabb9ef2511fd,7774904408400,train,e7bf15ae6d65f0e98475db50e2dd90d278c1270fdc8d60f46067b767acf9eed4,images/train/00ea393d021e5d79d5ea410540cbddb9b1c6a913a5649cc0837eabb9ef2511fd.jpg,rgb,376,144,819,1072,443,928,294786,43b9409433e20dfd549ed00bbd667f8896d8f662d8cbae25ff2cf1458b0a5b80,cutouts/00ea393d021e5d79d5ea410540cbddb9b1c6a913a5649cc0837eabb9ef2511fd.png,,OK,accepted,
0200e739345eb36c23f0faea8a82736af0ab3f30b80d071d790ab8bced5d7cfe,309974677097,train,b8427220be8ffaaf80a655e5a4b9136bfc5b91909e6b8328e52b22df2b37e6b6,images/train/0200e739345eb36c23f0faea8a82736af0ab3f30b80d071d790ab8bced5d7cfe.jpg,rgb,457,147,747,1080,290,933,259237,fecb040d854e303b1b5f91d71865a6cdabe0b1294dccad3306cba0a8b793b276,cutouts/0200e739345eb36c23f0faea8a82736af0ab3f30b80d071d790ab8bced5d7cfe.png,,OK,accepted,
031e2485e3079babb9250725b7d69750e3db658715c6b1aca8d2248804854bd3,7509552973136,train,763c8b40e6c5c93c0297660bad562754dad496627ca66a63c21985f53890a635,images/train/031e2485e3079babb9250725b7d69750e3db658715c6b1aca8d2248804854bd3.jpg,rgb,187,253,1015,950,828,697,309060,bee387fac1a2d459c9ac02173d25e12fa09b5a2c96b797cf7bde36abb2da2ff8,cutouts/031e2485e3079babb9250725b7d69750e3db658715c6b1aca8d2248804854bd3.png,,OK,accepted,
0321ea22b3a0280cfc68b1a68aadcac7ae6cee25c6735d28d692b5e27bc26652,7896451907660,train,2c73ef246ef29b6735003bea3e9d31e2535e8213de4208ddc0013111e0de1e83,images/train/0321ea22b3a0280cfc68b1a68aadcac7ae6cee25c6735d28d692b5e27bc26652.jpg,rgb,140,515,1058,687,918,172,134584,10e9c19adeeb7018c125965b868e79644d189892c822cf67a697089a9f587e7f,cutouts/0321ea22b3a0280cfc68b1a68aadcac7ae6cee25c6735d28d692b5e27bc26652.png,,OK,accepted,
0329471d8dfd379f3494c3c0d2f4786b28622ba85c3da91022faa6d4d08c72b8,7891150103047,train,773ea9652bd91660ce1e07d3bd597651f35afd21de38a28deefdbc369fcbffba,images/train/0329471d8dfd379f3494c3c0d2f4786b28622ba85c3da91022faa6d4d08c72b8.jpg,rgb,472,177,728,1023,256,846,44931,e34fdbbea9114f57544d7f794f94a23857f9fafacd59fa4ab1a0b90d9e0e20ca,cutouts/0329471d8dfd379f3494c3c0d2f4786b28622ba85c3da91022faa6d4d08c72b8.png,,OK,accepted,
041f3849fe260b99bbf4a05b102fb13e92826c3b7c9634f2319dacdd2869b7ba,7898930142630,train,84b3032d2f9fd08742429ca75eecaeb2584f297da38d2cd5afdb5b8b8ca8db1c,images/train/041f3849fe260b99bbf4a05b102fb13e92826c3b7c9634f2319dacdd2869b7ba.jpg,rgb,297,144,902,1055,605,911,500203,691f0709d5105dccf0ece49c20442f2e0a1b2a53e440c3d26931f7d29f04b7dc,cutouts/041f3849fe260b99bbf4a05b102fb13e92826c3b7c9634f2319dacdd2869b7ba.png,,OK,accepted,
0510490c6d0473fd2b0e852749e300dcae031c3a7e68909e15dd46e1a81296e1,7771260681935,train,3989d934ba29ddf1912bf303315e4769da286a534bb0edc2270b8d52a6f01058,images/train/0510490c6d0473fd2b0e852749e300dcae031c3a7e68909e15dd46e1a81296e1.jpg,rgb,257,243,942,930,685,687,346006,cc99436bc6f7ed93ceca3ff6fcc3956a547fa3ac042d0c24df09d3dd2005c47b,cutouts/0510490c6d0473fd2b0e852749e300dcae031c3a7e68909e15dd46e1a81296e1.png,,OK,accepted,
